epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6146.89,0.63715,0.8278,1.77601,0.97608,0.98058,0.99128,0.78321,0.53521,0.45498,1.82946,0.00496618,0.00496618,0.00496618
43,6293.58,0.63401,0.82041,1.77205,0.97852,0.97606,0.99153,0.7803,0.54228,0.44927,1.84512,0.00488365,0.00488365,0.00488365
44,6437.43,0.62425,0.816,1.763,0.97956,0.98282,0.99217,0.78899,0.52655,0.44068,1.81376,0.00480111,0.00480111,0.00480111
45,6584.12,0.62285,0.80217,1.75739,0.98125,0.98137,0.9919,0.79252,0.51668,0.43153,1.78966,0.00471858,0.00471858,0.00471858
46,6730.04,0.61178,0.77452,1.74482,0.97817,0.98096,0.99104,0.7933,0.51703,0.43211,1.78995,0.00463605,0.00463605,0.00463605
47,6876.31,0.61101,0.77978,1.74686,0.97238,0.97947,0.99018,0.79408,0.51552,0.43033,1.79371,0.00455352,0.00455352,0.00455352
48,7021.93,0.61176,0.77411,1.7454,0.97996,0.98022,0.99173,0.79788,0.51443,0.42297,1.78435,0.00447098,0.00447098,0.00447098
49,7168.22,0.60811,0.76967,1.74389,0.98618,0.98077,0.99342,0.79651,0.5177,0.41958,1.79439,0.00438845,0.00438845,0.00438845
50,7311.79,0.59912,0.75287,1.73152,0.98265,0.98234,0.99224,0.79806,0.50948,0.41795,1.77792,0.00430592,0.00430592,0.00430592
51,7457.75,0.59902,0.74286,1.73162,0.98524,0.99008,0.99359,0.81109,0.49191,0.40503,1.74493,0.00422339,0.00422339,0.00422339
52,7603.37,0.58523,0.73272,1.71614,0.98716,0.98511,0.99383,0.80711,0.50238,0.40099,1.76113,0.00414086,0.00414086,0.00414086
53,7746.84,0.58529,0.71801,1.70977,0.98839,0.98474,0.994,0.81285,0.49512,0.39789,1.74745,0.00405832,0.00405832,0.00405832
54,7892.8,0.58813,0.72533,1.72024,0.98194,0.98858,0.99391,0.81433,0.49081,0.39438,1.73739,0.00397579,0.00397579,0.00397579
55,8039.08,0.58392,0.7094,1.70805,0.98615,0.98516,0.99388,0.81735,0.48495,0.38941,1.72727,0.00389326,0.00389326,0.00389326
56,8184.69,0.57887,0.70104,1.70189,0.99126,0.9911,0.99439,0.81665,0.48509,0.38565,1.72775,0.00381073,0.00381073,0.00381073
57,8329.56,0.5757,0.69194,1.70064,0.98942,0.98496,0.99385,0.81866,0.4782,0.38067,1.71499,0.00372819,0.00372819,0.00372819
58,8474.82,0.56856,0.68588,1.6847,0.99006,0.9881,0.99377,0.82214,0.47426,0.38011,1.70795,0.00364566,0.00364566,0.00364566
59,8621.03,0.56263,0.67848,1.68292,0.98862,0.98885,0.99425,0.82749,0.46463,0.3728,1.68917,0.00356313,0.00356313,0.00356313
60,8766.35,0.5678,0.67963,1.68727,0.98985,0.98666,0.99363,0.82557,0.4652,0.37437,1.68696,0.0034806,0.0034806,0.0034806
61,8910.91,0.55943,0.65978,1.67484,0.98682,0.98843,0.99408,0.83017,0.45776,0.36773,1.67534,0.00339807,0.00339807,0.00339807
62,9056.82,0.56191,0.65937,1.67732,0.9898,0.98335,0.99412,0.8278,0.46445,0.36545,1.68709,0.00331553,0.00331553,0.00331553
63,9200.42,0.55364,0.65475,1.66633,0.98635,0.99085,0.99432,0.83263,0.45342,0.36051,1.67097,0.003233,0.003233,0.003233
64,9346.26,0.55076,0.64247,1.66753,0.99225,0.98796,0.99472,0.8313,0.45324,0.35686,1.66806,0.00315047,0.00315047,0.00315047
65,9490.51,0.54645,0.62877,1.65852,0.98553,0.99343,0.99436,0.83594,0.45045,0.35682,1.66492,0.00306794,0.00306794,0.00306794
66,9636.64,0.53914,0.62243,1.65245,0.98698,0.99219,0.99437,0.83717,0.44901,0.34976,1.66304,0.0029854,0.0029854,0.0029854
67,9782.27,0.54117,0.6217,1.65515,0.98899,0.993,0.99465,0.83757,0.44917,0.34756,1.66328,0.00290287,0.00290287,0.00290287
